model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
NeuralNetFastAI_r134_BAG_L1,-0.3123638022264594,-0.3107185658041002,root_mean_squared_error,0.28294825553894043,0.15736818313598633,24.871360778808594,0.28294825553894043,0.15736818313598633,24.871360778808594,1,True,55
RandomForest_r127_BAG_L1,-0.31265839787633815,-0.3158393709742566,root_mean_squared_error,0.04201984405517578,0.054653167724609375,0.9156725406646729,0.04201984405517578,0.054653167724609375,0.9156725406646729,1,True,54
RandomForest_r195_BAG_L1,-0.3126911821009171,-0.31877357200180967,root_mean_squared_error,0.04708290100097656,0.06291699409484863,0.9123058319091797,0.04708290100097656,0.06291699409484863,0.9123058319091797,1,True,22
RandomForest_r34_BAG_L1,-0.312729735999701,-0.3149318048779861,root_mean_squared_error,0.043596506118774414,0.05210709571838379,0.6250789165496826,0.043596506118774414,0.05210709571838379,0.6250789165496826,1,True,56
RandomForest_r39_BAG_L1,-0.3127399559858215,-0.31698735512564197,root_mean_squared_error,0.04634404182434082,0.05758857727050781,0.7343761920928955,0.04634404182434082,0.05758857727050781,0.7343761920928955,1,True,41
XGBoost_r33_BAG_L1,-0.3128636600293104,-0.31744857097099294,root_mean_squared_error,0.06602239608764648,0.043501853942871094,5.056360483169556,0.06602239608764648,0.043501853942871094,5.056360483169556,1,True,17
RandomForest_r166_BAG_L1,-0.3129158897692438,-0.3171501216078773,root_mean_squared_error,0.0469670295715332,0.060543060302734375,0.8957574367523193,0.0469670295715332,0.060543060302734375,0.8957574367523193,1,True,72
LightGBM_r161_BAG_L1,-0.3130153826335873,-0.31619259882159645,root_mean_squared_error,0.038169145584106445,0.03939676284790039,2.5139553546905518,0.038169145584106445,0.03939676284790039,2.5139553546905518,1,True,36
NeuralNetFastAI_r138_BAG_L1,-0.31313349628296916,-0.31058858963684494,root_mean_squared_error,0.07203888893127441,0.12590646743774414,9.729647874832153,0.07203888893127441,0.12590646743774414,9.729647874832153,1,True,82
XGBoost_r194_BAG_L1,-0.31343948253026394,-0.3209843006782471,root_mean_squared_error,0.04277920722961426,0.03787851333618164,1.464278221130371,0.04277920722961426,0.03787851333618164,1.464278221130371,1,True,31
