NU_ANO_CENSO;CO_MUNICIPIO;NO_MUNICIPIO;SG_UF;TAXA_CRE_INT;PROP_ESC_PUBLICA;PROP_ESC_URBANA;PROP_MAT_BRANCA;PROP_MAT_PRETA;PROP_MAT_PARDA;PROP_MAT_INDIGENA;COBERTURA_CRECHE_0_3;ESCOLAS_CRECHE_POR_1000_CRIAN;MEDIA_MAT_0_3_POR_ESCOLA;LOG_POP_TOTAL;PIB_PC;LOG_PIB_PC;TAXA_OCUP_FEM;TAXA_OCUP_MASC;PROP_MAES_JOVENS;PROP_DOM_SEM_CONJUGE_MULHER;PERC_RENDA_OUTRAS_FONTES;RENDA_MEDIANA_RESPONSAVEL;IDH_PROP_POBREZA_CRIANCAS;IDH_GINI;IDH_EXPECT_ANOS_ESTUDO;IDH_RAZAO_DEPENDENCIA
2022;2209401;Santo Antônio de Lisboa;PI;0.0;0.833333;0.75;0.351936;0.027335;0.578588;0.001139;0.227405;34.985423;6;8.672486;14741.39;9.598483;0.255474;0.456596;0.016628;0.13877;59.64;1212.0;46.05;0.47;7.16;52.93
2022;2209450;Santo Antônio dos Milagres;PI;0.0;1.0;0.444444;0.025;0.026389;0.936111;0.001389;0.496599;61.22449;8;7.668094;9830.68;9.193365;0.196407;0.337772;0.012658;0.153213;58.31;1212.0;57.19;0.49;9.93;64.19
2022;2209500;Santo Inácio do Piauí;PI;0.007937;1.0;0.363636;0.163244;0.058522;0.774127;0.001027;0.571429;54.187192;11;8.20166;12189.8;9.408437;0.218421;0.382199;0.009565;0.13997;59.04;1200.0;54.95;0.52;9.76;50.81
2022;2209559;São Braz do Piauí;PI;0.072917;1.0;0.3;0.217918;0.01816;0.748184;0.002421;0.367424;37.878788;10;8.379998;9866.91;9.197044;0.240328;0.399891;0.021358;0.108624;56.2;1212.0;64.22;0.53;8.63;54.81
2022;2209609;São Félix do Piauí;PI;0.0;1.0;0.5;0.209418;0.085502;0.594796;0.0;0.415493;56.338028;7;7.952615;11740.68;9.3709;0.33995;0.460684;0.00639;0.104753;54.49;1212.0;63.48;0.52;9.52;55.44
2022;2209658;São Francisco de Assis do Piauí;PI;0.0;1.0;0.4;0.444081;0.105298;0.393067;0.001308;0.213333;26.666667;8;8.625689;10831.12;9.290271;0.162568;0.25872;0.013283;0.11824;65.79;1045.0;80.56;0.6;7.26;59.28
2022;2209708;São Francisco do Piauí;PI;0.008475;1.0;0.3125;0.078746;0.09633;0.662844;0.001529;0.349515;51.779935;7;8.592857;10869.81;9.293836;0.14741;0.183448;0.007571;0.132565;74.18;1200.0;57.22;0.54;9.38;61.99
2022;2209757;São Gonçalo do Gurguéia;PI;0.0;1.0;0.25;0.026144;0.031046;0.696078;0.00817;0.162281;52.631579;3;7.988882;20360.03;9.921378;0.224868;0.340604;0.050459;0.156082;46.09;1212.0;63.21;0.67;8.15;63.01
2022;2209807;São Gonçalo do Piauí;PI;0.0;0.916667;0.583333;0.141218;0.085613;0.759929;0.000883;0.264789;33.802817;8;8.484257;15493.28;9.648226;0.259595;0.432052;0.01843;0.136219;48.27;1212.0;68.18;0.55;9.76;58.52
2022;2209856;São João da Canabrava;PI;0.093333;1.0;0.133333;0.171674;0.032904;0.773963;0.002861;0.276786;66.964286;4;8.353026;11413.72;9.342659;0.266888;0.406106;0.013138;0.130907;59.49;1212.0;63.1;0.52;7.84;60.18
2022;2209872;São João da Fronteira;PI;0.0;1.0;0.125;0.354298;0.015723;0.619497;0.0;0.280788;39.408867;7;8.616676;11595.98;9.3585;0.225023;0.331471;0.019219;0.154213;56.96;1000.0;67.11;0.54;8.04;66.81
2022;2209906;São João da Serra;PI;0.0;1.0;0.478261;0.136326;0.060682;0.777224;0.0;0.408163;67.055394;6;8.7185;10895.81;9.296226;0.267496;0.412121;0.013326;0.13607;58.26;1200.0;68.72;0.57;9.24;57.15
2022;2209955;São João da Varjota;PI;0.0;1.0;0.272727;0.060844;0.22473;0.705594;0.000981;0.286275;43.137255;7;8.385717;9049.74;9.110602;0.18589;0.381671;0.012763;0.172789;66.22;1212.0;67.44;0.57;9.57;59.61
2022;2209971;São João do Arraial;PI;0.172535;1.0;0.269231;0.093824;0.025732;0.874505;0.000396;0.415214;41.204437;10;9.010303;10013.32;9.211771;0.28959;0.533042;0.032215;0.148995;56.07;800.0;71.87;0.55;9.9;63.17
2022;2210003;São João do Piauí;PI;0.0;0.878788;0.515152;0.226488;0.082673;0.656713;0.000813;0.267961;21.359223;13;9.972174;18194.58;9.808934;0.340452;0.542868;0.01732;0.167829;35.61;1212.0;45.38;0.57;10.14;54.96
2022;2210052;São José do Divino;PI;0.053435;1.0;0.625;0.119415;0.004874;0.872461;0.0;0.479839;32.258065;15;8.485083;13798.39;9.53238;0.254892;0.551673;0.018719;0.1538;50.98;1212.0;59.95;0.49;8.81;48.44
2022;2210102;São José do Peixe;PI;1.0;1.0;0.5;0.074653;0.045139;0.868056;0.0;0.340136;54.421769;6;8.101072;13511.68;9.511384;0.291269;0.418605;0.013834;0.148148;53.54;1212.0;66.09;0.57;8.59;64.44
2022;2210201;São José do Piauí;PI;0.0;1.0;0.277778;0.675714;0.005714;0.315714;0.002857;0.066832;44.554455;2;8.794522;10685.16;9.276705;0.374355;0.544233;0.01087;0.117621;59.59;1212.0;48.87;0.43;9.12;57.0
2022;2210300;São Julião;PI;0.0;0.9;0.7;0.491487;0.157775;0.220204;0.001135;0.347578;28.490028;12;8.703839;10330.79;9.242981;0.212216;0.431781;0.021785;0.189977;49.15;1212.0;49.35;0.51;7.89;52.35
2022;2210359;São Lourenço do Piauí;PI;0.765625;1.0;0.148148;0.083513;0.017279;0.867531;0.0;0.567442;125.581395;5;8.391857;11304.31;9.333028;0.20265;0.370037;0.004508;0.119543;55.09;1212.0;50.76;0.47;8.38;50.94
2022;2210375;São Luis do Piauí;PI;0.0;1.0;0.1875;0.261283;0.026128;0.703088;0.0;0.145985;116.788321;1;7.745003;10599.39;9.268646;0.180626;0.170551;0.001416;0.13101;66.82;1212.0;66.38;0.5;7.85;59.96
2022;2210391;São Miguel do Fidalgo;PI;0.0;1.0;0.3;0.061261;0.007207;0.92973;0.0;0.353234;49.751244;7;7.948032;11630.26;9.361451;0.232687;0.353283;0.017261;0.13412;57.28;1212.0;67.89;0.55;8.02;66.82
2022;2210409;São Miguel do Tapuio;PI;0.860051;0.959184;0.265306;0.1662;0.035137;0.792628;0.001293;0.362183;46.095955;8;9.773094;9908.0;9.201199;0.212573;0.362321;0.019169;0.125864;58.26;1212.0;70.71;0.57;8.95;57.58
2022;2210508;São Pedro do Piauí;PI;0.0;0.9375;0.34375;0.079853;0.029628;0.882054;0.000282;0.327273;30.62201;11;9.52923;10416.28;9.251222;0.232681;0.379014;0.020703;0.155455;54.55;1200.0;64.6;0.56;9.44;61.54
2022;2210607;São Raimundo Nonato;PI;0.779055;0.688889;0.755556;0.185995;0.054782;0.755025;0.0;0.2401;16.054228;15;10.569649;16788.05;9.728482;0.437468;0.608644;0.020141;0.149516;28.11;1212.0;35.32;0.55;9.82;51.03
2022;2210623;Sebastião Barros;PI;1.0;1.0;0.444444;0.046939;0.033673;0.914286;0.0;0.24;40.0;6;8.071843;16561.21;9.714879;0.194794;0.451687;0.01634;0.126016;56.74;1200.0;70.54;0.59;7.51;63.38
2022;2210631;Sebastião Leal;PI;0.0;1.0;0.285714;0.143954;0.015355;0.823417;0.001919;0.111842;46.052632;2;8.399985;154450.52;11.947636;0.1777;0.41588;0.016067;0.074844;40.59;1212.0;66.8;0.58;9.54;55.61
2022;2210656;Sigefredo Pacheco;PI;0.0;1.0;0.235294;0.056775;0.009841;0.927328;0.005299;0.338104;30.411449;11;9.154933;8732.56;9.074928;0.201643;0.362985;0.013444;0.099326;62.04;1200.0;60.12;0.51;8.77;53.93
