number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_k_features,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_rmse_cv_std,state
66,0.3125132249722668,2026-06-20 01:07:10.337550,2026-06-20 01:07:13.656690,0 days 00:00:03.319140,0.6151645894970689,75,0.0053723497591281295,4,8.326673705357601,720,1.9316112584789787e-06,0.025792949343817376,0.7474339541258348,0.009802773698519196,COMPLETE
67,0.3125426683643216,2026-06-20 01:07:13.656835,2026-06-20 01:07:16.977164,0 days 00:00:03.320329,0.6277289849916825,71,0.005070372098905055,4,7.627028119648448,718,2.70618005016115e-06,0.023288034129786816,0.7506455816420339,0.009778334583967407,COMPLETE
68,0.3127102997353736,2026-06-20 01:07:16.977339,2026-06-20 01:07:20.198250,0 days 00:00:03.220911,0.6177918580216862,62,0.005715632745414804,4,19.077534149178746,717,3.462862874326791e-07,0.028396021489570277,0.7319939762560053,0.0093196860132403,COMPLETE
69,0.31404810137867756,2026-06-20 01:07:20.198397,2026-06-20 01:07:24.882827,0 days 00:00:04.684430,0.6378294934452303,76,0.0075695005570725945,5,10.281385504970517,858,8.453897126564673e-08,0.23982005552870514,0.8140867185438054,0.009228546121310108,COMPLETE
70,0.31249463901518904,2026-06-20 01:07:24.882969,2026-06-20 01:07:27.385571,0 days 00:00:02.502602,0.6156914546166936,71,0.00646959829544435,3,6.004730993088793,678,1.9360675364076638e-06,1.5454010917496236e-08,0.7653517847487651,0.00965339222802169,COMPLETE
71,0.3127101847930339,2026-06-20 01:07:27.385713,2026-06-20 01:07:29.691477,0 days 00:00:02.305764,0.6127539645625617,71,0.006382984274792972,3,13.926167286056362,629,1.6624617528064007e-06,5.632056117880635e-08,0.7653820134888035,0.009201756977511386,COMPLETE
72,0.31260301442545113,2026-06-20 01:07:29.691619,2026-06-20 01:07:32.429944,0 days 00:00:02.738325,0.6631694597762463,67,0.005616971618102802,3,5.57458317627886,759,4.285864143528542e-06,1.1011106275588809e-06,0.7981317514149315,0.009426687419020587,COMPLETE
73,0.3131095294674531,2026-06-20 01:07:32.430093,2026-06-20 01:07:34.952189,0 days 00:00:02.522096,0.6192214739838574,74,0.006917498903089418,3,4.010898360180069,688,1.2611465935803073e-08,2.6603635265730495e-08,0.7151344889501363,0.009693099020102357,COMPLETE
74,0.31337039808803835,2026-06-20 01:07:34.952324,2026-06-20 01:07:36.838269,0 days 00:00:01.885945,0.6335875217455166,79,0.008378181038020042,2,8.724786102739426,679,1.5407181019962473e-07,6.2201159349671655e-06,0.7883718837585838,0.00911611805094787,COMPLETE
75,0.31241006840335983,2026-06-20 01:07:36.838401,2026-06-20 01:07:40.552331,0 days 00:00:03.713930,0.6468982907738439,69,0.006159170679949592,4,6.2231034224574895,814,4.686107538854337e-07,1.245195414648941e-07,0.7487747724510403,0.009795643940313398,COMPLETE
76,0.32200464639097176,2026-06-20 01:07:40.552476,2026-06-20 01:07:43.385800,0 days 00:00:02.833324,0.6915458273933451,19,0.006079564819094006,3,6.234467493228721,829,4.453747131100818e-07,5.101366057158081e-08,0.8198288228483862,0.009471536724026028,COMPLETE
77,0.31384236014598865,2026-06-20 01:07:43.385945,2026-06-20 01:07:45.792349,0 days 00:00:02.406404,0.6454198356349803,62,0.007582045812006334,2,3.9911970751227943,912,4.445069533832098e-08,1.107948991172855e-08,0.6991810286081264,0.009128940485736549,COMPLETE
78,0.3124343383023295,2026-06-20 01:07:45.792492,2026-06-20 01:07:48.694596,0 days 00:00:02.902104,0.8928823396477342,56,0.006745232559212431,3,13.693311188666694,796,1.9272622780478072e-07,4.352028406897724e-07,0.8492831253276469,0.009393047518419817,COMPLETE
79,0.3339036139245638,2026-06-20 01:07:48.694739,2026-06-20 01:07:52.418260,0 days 00:00:03.723521,0.911013315141367,47,0.094317567482601,4,13.637861675629038,794,1.4557641968544732e-07,1.6703741648763506e-07,0.8515460392754418,0.006523977819460964,COMPLETE
80,0.313588325796197,2026-06-20 01:07:52.418403,2026-06-20 01:07:55.904495,0 days 00:00:03.486092,0.886923925784984,58,0.01019126958022472,4,10.269328273469695,745,2.1927152238939552e-07,8.241094936203307e-08,0.84584972934912,0.009759484533590724,COMPLETE
81,0.3126028139378909,2026-06-20 01:07:55.904639,2026-06-20 01:07:58.885714,0 days 00:00:02.981075,0.809631616671354,70,0.006698366349206469,3,5.710042123206939,821,1.4839611564320584e-06,1.4447267803721434e-06,0.7644849210731745,0.00974609375029857,COMPLETE
82,0.31303706965800415,2026-06-20 01:07:58.885858,2026-06-20 01:08:01.222185,0 days 00:00:02.336327,0.8333200682764446,55,0.005003841538867066,3,4.833116589862566,616,7.483865855072771e-07,2.3459159702651738e-07,0.8250503970871639,0.009412670795997233,COMPLETE
83,0.3137771968501219,2026-06-20 01:08:01.222318,2026-06-20 01:08:04.285443,0 days 00:00:03.063125,0.6718258709159508,38,0.008566379149358089,3,16.006154970414592,886,6.690341996904162e-08,1.6011831357802467e-08,0.6042524722275872,0.009615126489629916,COMPLETE
84,0.31255200961900875,2026-06-20 01:08:04.285586,2026-06-20 01:08:07.770576,0 days 00:00:03.484990,0.8520123061665034,81,0.007324052724320285,4,8.772198301287792,746,2.6965644481738435e-08,2.999229144312396e-08,0.8066361242304567,0.010196066328489685,COMPLETE
85,0.31430163912090947,2026-06-20 01:08:07.770714,2026-06-20 01:08:09.629751,0 days 00:00:01.859037,0.6286282970603423,72,0.006250857309874353,2,6.9867178149513816,667,4.4615544647464213e-07,1.2507383170884174e-07,0.7918363678709297,0.00913985432761452,COMPLETE
86,0.31242433104717104,2026-06-20 01:08:09.629894,2026-06-20 01:08:12.490870,0 days 00:00:02.860976,0.9479768440067581,61,0.005560772407888829,3,12.289271465609012,779,3.526772020528839e-06,0.09411395226137659,0.7788826825477986,0.009343850583172598,COMPLETE
87,0.3126741975160202,2026-06-20 01:08:12.491018,2026-06-20 01:08:15.298843,0 days 00:00:02.807825,0.9676121971077918,49,0.005758332009360446,3,19.815963405630306,772,2.812530698416938e-06,3.6059210688566966e-07,0.7596686066886202,0.009390801270248595,COMPLETE
88,0.3149821180256605,2026-06-20 01:08:15.298990,2026-06-20 01:08:20.228814,0 days 00:00:04.929824,0.9777846850818834,60,0.007845684660666352,5,11.088841752174302,856,1.3059798315213919e-05,0.5901518458486171,0.8699649856682141,0.010268062111462325,COMPLETE
89,0.3156381951065259,2026-06-20 01:08:20.228962,2026-06-20 01:08:24.570771,0 days 00:00:04.341809,0.9155143562981776,64,0.010400187406828671,4,12.014949909890104,955,4.197880935069759e-06,0.09944292494766545,0.7838862495657806,0.00975162256125642,COMPLETE
90,0.31223231712480043,2026-06-20 01:08:24.570908,2026-06-20 01:08:27.138104,0 days 00:00:02.567196,0.9013068906696244,55,0.005443788137229645,3,15.267117413231082,699,3.1440109162369205e-05,1.3865167503271796e-06,0.8300252389977597,0.00961521743322211,COMPLETE
91,0.31233307405254745,2026-06-20 01:08:27.138249,2026-06-20 01:08:29.963636,0 days 00:00:02.825387,0.9394934729869046,56,0.005420923237531085,3,14.287078858731428,700,2.4142144142025517e-07,9.600499473320244e-07,0.8315192336817309,0.009514156564358943,COMPLETE
92,0.3123232688839231,2026-06-20 01:08:29.963779,2026-06-20 01:08:33.062840,0 days 00:00:03.099061,0.9422320802557008,55,0.005458574828819247,3,15.950828138817783,704,3.27115550522605e-05,1.0494823455191243e-06,0.8279241455733178,0.009593826291694127,COMPLETE
93,0.3122135370611262,2026-06-20 01:08:33.062986,2026-06-20 01:08:36.556709,0 days 00:00:03.493723,0.9404914569860066,55,0.005512689856217175,3,15.006227330592466,811,2.334423490315439e-05,2.9357407424436537e-06,0.833580487670179,0.009555481005648216,COMPLETE
94,0.31442905454371745,2026-06-20 01:08:36.556856,2026-06-20 01:08:38.846327,0 days 00:00:02.289471,0.944831608465716,52,0.005501517031116121,2,15.026119153599163,696,3.153999953337801e-05,3.669771276492141e-06,0.8240628264997949,0.009350290347250574,COMPLETE
95,0.31157494133472163,2026-06-20 01:08:38.846472,2026-06-20 01:08:42.727710,0 days 00:00:03.881238,0.9288642936720692,42,0.0053614865345858525,4,17.250592750952332,704,3.0060748418966206e-05,1.1101596720241491e-06,0.8312971945930087,0.00931204593573007,COMPLETE
96,0.31166028335788193,2026-06-20 01:08:42.727858,2026-06-20 01:08:46.776984,0 days 00:00:04.049126,0.9303104455205148,41,0.005242083306823731,4,16.32158807067197,733,9.276618785728656e-05,6.451330037043647e-07,0.8305317774961765,0.00970740262263507,COMPLETE
97,0.3116957513107393,2026-06-20 01:08:46.777136,2026-06-20 01:08:50.844072,0 days 00:00:04.066936,0.9115713722440323,44,0.005054589919745894,4,16.95512126414277,739,7.832832109084655e-05,1.239359926327261e-06,0.8332170528855838,0.009802270535624696,COMPLETE
98,0.31187870987585375,2026-06-20 01:08:50.844216,2026-06-20 01:08:54.725579,0 days 00:00:03.881363,0.9310339371144696,36,0.005037303545739758,4,19.543819212606774,701,9.424126806884317e-05,1.0086188917109726e-06,0.8356820512794675,0.009385717279793015,COMPLETE
99,0.31281875249581653,2026-06-20 01:08:54.725726,2026-06-20 01:08:59.665677,0 days 00:00:04.939951,0.9256323541091533,35,0.005887176594779509,5,18.81059170788372,738,9.684275782570368e-05,3.179260466159338e-06,0.8776969406439417,0.009766622253675793,COMPLETE
100,0.3126546542836086,2026-06-20 01:08:59.665826,2026-06-20 01:09:04.179842,0 days 00:00:04.514016,0.9604154637637166,32,0.005349410856332225,5,16.786935442891792,660,8.898683482186728e-05,1.9457366861175154e-06,0.859168159581664,0.010197970343181033,COMPLETE
101,0.3116664982372491,2026-06-20 01:09:04.179996,2026-06-20 01:09:08.163799,0 days 00:00:03.983803,0.931587799901657,42,0.00529283892941789,4,14.625207228258667,714,3.131225003960582e-05,7.204223569544791e-07,0.8362176824855978,0.009653063984331292,COMPLETE
102,0.31170874367990264,2026-06-20 01:09:08.163948,2026-06-20 01:09:11.550213,0 days 00:00:03.386265,0.927326715960223,40,0.005137298951335563,4,17.2101640782121,595,2.5455412447091562e-05,1.74321571830563e-05,0.8411445390479974,0.009646205382919963,COMPLETE
103,0.3120713849691373,2026-06-20 01:09:11.550359,2026-06-20 01:09:15.668938,0 days 00:00:04.118579,0.9264283649433228,44,0.005149729031279526,4,9.001105911660083,729,1.7576363313944954e-05,9.188968099800983e-06,0.8382167168631991,0.009798629103920193,COMPLETE
104,0.3119276348332982,2026-06-20 01:09:15.669083,2026-06-20 01:09:19.149229,0 days 00:00:03.480146,0.9292681970463933,43,0.00501037226850151,4,9.137966224785433,598,0.00020883817936898473,1.5690899689614842e-05,0.8413914803506963,0.009871027665682614,COMPLETE
105,0.31206922287955063,2026-06-20 01:09:19.149379,2026-06-20 01:09:22.544149,0 days 00:00:03.394770,0.9321037138890225,43,0.00500658178241885,4,9.34954782309747,580,0.00019992167186517966,1.5071456798769824e-05,0.863790540616821,0.009879473338008185,COMPLETE
106,0.3119657393184108,2026-06-20 01:09:22.544288,2026-06-20 01:09:25.933222,0 days 00:00:03.388934,0.9286398966759223,43,0.005226460436419406,4,9.471488694189647,579,0.00017620656344681748,2.278804084795491e-05,0.8887350302549144,0.010587708828778176,COMPLETE
