number,value,datetime_start,datetime_complete,duration,params_activation,params_alpha,params_batch_size,params_hidden_layer_sizes,params_k_features,params_learning_rate_init,user_attrs_rmse_cv_std,state
78,0.31931563873485314,2026-06-20 01:13:12.381940,2026-06-20 01:13:13.158634,0 days 00:00:00.776694,tanh,0.005451038588666885,64,"(128,)",50,0.00037376517324314685,0.009234293714084619,COMPLETE
79,0.3287525773380331,2026-06-20 01:13:13.158751,2026-06-20 01:13:13.916816,0 days 00:00:00.758065,tanh,0.0057100603016293485,64,"(128, 64)",67,0.0005241188030491877,0.014164188942064872,COMPLETE
80,0.3193294650514121,2026-06-20 01:13:13.916936,2026-06-20 01:13:14.691442,0 days 00:00:00.774506,tanh,0.006824202079069836,64,"(128,)",56,0.00037897066341861715,0.009231781474912704,COMPLETE
81,0.31925807327433525,2026-06-20 01:13:14.691560,2026-06-20 01:13:15.468724,0 days 00:00:00.777164,tanh,0.007728049672778392,64,"(128,)",56,0.00037340797296986274,0.00924738519886299,COMPLETE
82,0.31937566989788,2026-06-20 01:13:15.468845,2026-06-20 01:13:16.245431,0 days 00:00:00.776586,tanh,0.00749850649890139,64,"(128,)",57,0.0003854366499376775,0.009224739803726578,COMPLETE
83,0.31937625103858364,2026-06-20 01:13:16.245546,2026-06-20 01:13:17.061596,0 days 00:00:00.816050,tanh,0.004730215905804291,64,"(128,)",51,0.00035994890529727705,0.009081065995075794,COMPLETE
84,0.32537458669978725,2026-06-20 01:13:17.061705,2026-06-20 01:13:17.753006,0 days 00:00:00.691301,tanh,0.006658208489114232,64,"(128,)",56,0.0005804717067129623,0.009280723736362467,COMPLETE
85,0.32027207417178244,2026-06-20 01:13:17.753129,2026-06-20 01:13:18.973712,0 days 00:00:01.220583,tanh,0.005236728287131291,16,"(128,)",66,0.0002042401548494967,0.009183230106119737,COMPLETE
86,0.3449487895099851,2026-06-20 01:13:18.973858,2026-06-20 01:13:19.830846,0 days 00:00:00.856988,tanh,0.0038748393160633167,64,"(32,)",61,0.00042969543985196156,0.006710098584008692,COMPLETE
87,0.32371742498894346,2026-06-20 01:13:19.830968,2026-06-20 01:13:20.536570,0 days 00:00:00.705602,tanh,0.007805288113209293,64,"(128,)",34,0.0005053788962646432,0.00885743940910374,COMPLETE
88,0.33543073523210226,2026-06-20 01:13:20.536683,2026-06-20 01:13:21.503076,0 days 00:00:00.966393,relu,0.009217641353499308,64,"(128,)",46,0.0003435258735714248,0.013860777981718876,COMPLETE
89,0.33278428273829297,2026-06-20 01:13:21.503196,2026-06-20 01:13:22.508918,0 days 00:00:01.005722,tanh,0.004103490339767014,64,"(64, 32)",49,0.000250089459677443,0.011680777723005626,COMPLETE
90,0.32590108107837024,2026-06-20 01:13:22.509035,2026-06-20 01:13:23.154557,0 days 00:00:00.645522,tanh,0.00208796768819477,128,"(128,)",64,0.0006620217277259171,0.010644731005786494,COMPLETE
91,0.3228622169049959,2026-06-20 01:13:23.154676,2026-06-20 01:13:23.888431,0 days 00:00:00.733755,tanh,0.007720099774832191,64,"(128,)",56,0.0004246498168736473,0.009257757075194712,COMPLETE
