number,value,datetime_start,datetime_complete,duration,params_depth,params_iterations,params_k_features,params_l2_leaf_reg,params_learning_rate,params_random_strength,user_attrs_rmse_cv_std,state
31,0.31231150766748567,2026-06-20 00:39:54.763431,2026-06-20 00:40:01.349386,0 days 00:00:06.585955,7,669,99,0.020307851005905663,0.006026226814460767,0.00102775870546249,0.010598335086903181,COMPLETE
32,0.3114381870097605,2026-06-20 00:40:01.349579,2026-06-20 00:40:08.023293,0 days 00:00:06.673714,7,680,93,0.0053330379946758,0.008893046675182243,0.001019536310672531,0.010732641112530264,COMPLETE
33,0.31156232278020213,2026-06-20 00:40:08.023490,2026-06-20 00:40:11.257039,0 days 00:00:03.233549,6,502,91,0.005574929470387138,0.009402279324156979,0.0022667808960433614,0.010650666124223657,COMPLETE
34,0.3126590843656194,2026-06-20 00:40:11.257267,2026-06-20 00:40:13.387405,0 days 00:00:02.130138,5,486,77,0.001136864895915102,0.00977449649234421,0.0019701266724539324,0.010661838054410965,COMPLETE
35,0.31557543333340243,2026-06-20 00:40:13.387573,2026-06-20 00:40:14.254723,0 days 00:00:00.867150,5,113,70,0.004924430589292431,0.0160075867408509,0.030118206724573535,0.010236674538985177,COMPLETE
36,0.3121769161402218,2026-06-20 00:40:14.254861,2026-06-20 00:40:17.102122,0 days 00:00:02.847261,6,464,83,0.0011622896842705158,0.01084900387197596,0.004647598782856545,0.010862053739700384,COMPLETE
37,0.3157844368599102,2026-06-20 00:40:17.102294,2026-06-20 00:40:21.790184,0 days 00:00:04.687890,6,784,92,0.005069057484191237,0.0213433974366461,0.09883114619114818,0.009501956093437602,COMPLETE
38,0.3170521774891389,2026-06-20 00:40:21.790355,2026-06-20 00:40:22.942990,0 days 00:00:01.152635,4,285,65,0.009968387677452228,0.00729198562302097,0.0027037637756186735,0.01002478531986067,COMPLETE
39,0.3133086896784319,2026-06-20 00:40:22.943137,2026-06-20 00:40:36.969388,0 days 00:00:14.026251,9,404,73,0.002238131198623403,0.01410136486388322,0.001925347505324495,0.00968449338692912,COMPLETE
40,0.3133047772418819,2026-06-20 00:40:36.969610,2026-06-20 00:40:39.596278,0 days 00:00:02.626668,5,574,29,0.005553217859020083,0.011319160542856125,1.3232933948921621,0.009474977791913806,COMPLETE
41,0.31196167653819273,2026-06-20 00:40:39.596451,2026-06-20 00:40:51.297806,0 days 00:00:11.701355,8,652,88,0.012425150745313317,0.008660113934065896,0.0013711128705257466,0.009264229867206564,COMPLETE
42,0.31220477228922894,2026-06-20 00:40:51.298021,2026-06-20 00:41:00.018615,0 days 00:00:08.720594,7,858,93,0.013615638691952038,0.0057903364579231014,0.006273185599242933,0.010385824759714914,COMPLETE
43,0.311783245871559,2026-06-20 00:41:00.018806,2026-06-20 00:41:07.111631,0 days 00:00:07.092825,7,708,95,0.039503716944567495,0.008530056811822397,0.001469178064993925,0.009533652876911327,COMPLETE
44,0.31282391252639774,2026-06-20 00:41:07.111830,2026-06-20 00:41:20.046370,0 days 00:00:12.934540,8,705,81,0.042276318671015,0.010810321580145386,0.0036447680491855958,0.0094070689917116,COMPLETE
45,0.3120458445294913,2026-06-20 00:41:20.046586,2026-06-20 00:41:25.496236,0 days 00:00:05.449650,6,751,87,0.07094619909199387,0.006942834259961346,0.0015245763593466897,0.010235441304797302,COMPLETE
46,0.3192997019492232,2026-06-20 00:41:25.496421,2026-06-20 00:41:34.681031,0 days 00:00:09.184610,7,888,96,0.2706563092796833,0.060702905016373244,0.008319123168241228,0.009235362639230527,COMPLETE
47,0.3134274450552823,2026-06-20 00:41:34.681223,2026-06-20 00:41:52.445906,0 days 00:00:17.764683,9,513,95,0.003784730720417746,0.01970745069477831,0.0028806826867803395,0.007855413038487141,COMPLETE
48,0.3126403390342865,2026-06-20 00:41:52.446130,2026-06-20 00:42:00.812999,0 days 00:00:08.366869,7,774,84,0.001880525379703787,0.005607388423059119,0.016605474749826044,0.01038471546334025,COMPLETE
49,0.3118405453445291,2026-06-20 00:42:00.813189,2026-06-20 00:42:12.157276,0 days 00:00:11.344087,8,592,89,0.029406853862447464,0.008750591447008857,0.001390462570066914,0.009737484182879806,COMPLETE
50,0.3120765585284732,2026-06-20 00:42:12.157496,2026-06-20 00:42:17.298878,0 days 00:00:05.141382,6,702,80,0.006742094537608108,0.0104159814335104,0.004654981718679941,0.009994116410675926,COMPLETE
51,0.3118025634254554,2026-06-20 00:42:17.299076,2026-06-20 00:42:23.999787,0 days 00:00:06.700711,7,654,100,0.022596164023745088,0.008122194720242745,0.0011428603192943825,0.009903767780861068,COMPLETE
52,0.3112650269603351,2026-06-20 00:42:23.999982,2026-06-20 00:42:30.469029,0 days 00:00:06.469047,7,613,95,0.10599264423518749,0.009040841955625725,0.0010278375555364712,0.010207397241945146,COMPLETE
53,0.3128640872602665,2026-06-20 00:42:30.469220,2026-06-20 00:42:36.227889,0 days 00:00:05.758669,7,559,93,0.0981556389277875,0.011882086832083336,0.0017539744506061378,0.00956553793198326,COMPLETE
