NU_ANO_CENSO;CO_MUNICIPIO;NO_MUNICIPIO;SG_UF;TAXA_CRE_INT;PROP_ESC_PUBLICA;PROP_ESC_URBANA;PROP_MAT_BRANCA;PROP_MAT_PRETA;PROP_MAT_PARDA;PROP_MAT_INDIGENA;COBERTURA_CRECHE_0_3;CRECHE_POR_1000_HAB;ESCOLAS_CRECHE_POR_1000_CRIAN;MEDIA_MAT_0_3_POR_ESCOLA;PROP_POP_0_4;LOG_POP_TOTAL;LOG_POP_0_4;PIB_PC;LOG_PIB_PC;TAXA_OCUP_FEM;TAXA_OCUP_MASC;PROP_MAES_JOVENS;PROP_DOM_SEM_CONJUGE;PROP_DOM_SEM_CONJUGE_MULHER;PROP_DOM_SEM_CONJUGE_HOMEM;PROP_MULHER_ENTRE_RESP_SEM_CONJUGE;PERC_RENDA_OUTRAS_FONTES;RAZAO_OUTRAS_FONTES_TRABALHO;RENDA_MEDIANA_RESPONSAVEL;LOG_RENDA_MEDIANA_RESPONSAVEL;IDH_PROP_POBREZA;IDH_PROP_POBREZA_CRIANCAS;IDH_PROP_VULNER_POBREZA;IDH_GINI;IDH_EXPECT_ANOS_ESTUDO;IDH_RAZAO_DEPENDENCIA
2022;2306306;Itapajé;CE;0.078755;0.927536;0.391304;0.169851;0.010918;0.817998;0.000616;0.313452;23.521303;21.890863;14;0.067893;10.745636;8.05611;15129.84;9.62449;0.34259;0.539234;0.019062;0.206178;0.182772;0.023406;0.886476;38.25;0.619433;1200.0;7.09091;42.45;57.51;69.87;0.54;9.56;56.38
2022;2306405;Itapipoca;CE;0.122468;0.910448;0.41791;0.140182;0.008856;0.841277;0.007287;0.286706;24.09951;13.475463;21;0.075837;11.783899;9.204825;16243.27;9.695495;0.322119;0.48126;0.012283;0.184288;0.16133;0.022958;0.875424;37.01;0.587554;1212.0;7.100852;45.0;59.1;69.64;0.56;9.79;58.58
2022;2306504;Itapiúna;CE;0.043478;0.923077;0.197802;0.195048;0.026286;0.764571;0.004952;0.33677;24.494143;78.178694;4;0.065243;9.789311;7.060476;10220.67;9.232265;0.161799;0.30322;0.014123;0.176884;0.152362;0.024522;0.861368;60.78;1.54972;1200.0;7.09091;46.42;62.83;72.52;0.5;9.27;57.97
2022;2306553;Itarema;CE;0.0;0.931507;0.356164;0.220366;0.007251;0.677701;0.093422;0.295836;25.956189;21.110468;14;0.080499;10.667978;8.148735;16825.41;9.730705;0.298546;0.60255;0.014927;0.167977;0.145544;0.022433;0.866453;36.21;0.567644;1001.0;6.909753;49.01;62.83;77.45;0.53;10.16;61.23
2022;2306603;Itatira;CE;0.815464;0.985075;0.238806;0.099115;0.006068;0.894058;0.000126;0.649549;47.493145;46.495489;14;0.070554;9.924515;7.273786;9309.39;9.138886;0.230845;0.301272;0.027059;0.193601;0.171924;0.021677;0.888031;55.49;1.246686;1200.0;7.09091;53.79;70.9;75.39;0.54;8.83;68.1
2022;2306702;Jaguaretama;CE;0.0;0.966667;0.366667;0.088821;0.009188;0.900459;0.0;0.220466;17.815692;24.958403;9;0.069754;9.754581;7.092574;14923.57;9.610764;0.283981;0.492384;0.013822;0.170494;0.14307;0.027424;0.839147;48.1;0.926782;1212.0;7.100852;47.29;62.47;71.55;0.56;9.46;54.95
2022;2306801;Jaguaribara;CE;0.0;0.894737;0.473684;0.214724;0.032038;0.74983;0.000682;0.667647;46.25338;27.941176;24;0.065662;9.245418;6.523562;15939.26;9.676603;0.368483;0.579869;0.00914;0.171029;0.152588;0.018441;0.892174;41.43;0.707359;1212.0;7.100852;32.21;44.12;60.42;0.45;9.74;51.21
2022;2306900;Jaguaribe;CE;0.153591;0.931034;0.37931;0.124424;0.005706;0.868664;0.0;0.409272;26.833897;43.36989;9;0.059479;10.426054;7.604396;18908.59;9.847424;0.318788;0.545543;0.011539;0.182412;0.163953;0.018459;0.898807;38.84;0.635056;1212.0;7.100852;37.3;53.6;62.37;0.52;9.46;55.2
2022;2307007;Jaguaruana;CE;0.259259;0.896552;0.689655;0.28379;0.010347;0.701429;0.000328;0.273322;17.885871;15.821058;17;0.057822;10.364135;7.514255;18887.64;9.846316;0.319938;0.546378;0.012315;0.204501;0.181229;0.023272;0.886203;38.9;0.636661;1212.0;7.100852;34.35;49.54;61.74;0.47;9.84;46.28
2022;2307106;Jardim;CE;0.0;0.959184;0.22449;0.117609;0.027863;0.845294;0.001134;0.320615;24.114407;25.967144;12;0.068841;10.218736;7.543273;11316.92;9.334142;0.266733;0.507673;0.01702;0.169887;0.150566;0.019321;0.886272;48.72;0.950078;1202.0;7.092574;45.8;63.9;70.28;0.53;9.58;60.86
2022;2307205;Jati;CE;0.014286;1.0;0.3;0.230447;0.00838;0.75419;0.002793;0.467023;35.618878;17.825312;26;0.071365;8.969796;6.331502;17851.93;9.789923;0.33951;0.547176;0.015126;0.161647;0.139916;0.021731;0.865566;48.34;0.935734;1212.0;7.100852;41.91;59.38;66.82;0.5;9.97;54.88
2022;2307254;Jijoca de Jericoacoara;CE;0.001178;1.0;0.4;0.301766;0.008747;0.687468;0.000336;0.368242;33.222461;12.177302;30;0.080337;10.148627;7.627544;27256.19;10.213073;0.46568;0.690907;0.013276;0.154642;0.138507;0.016135;0.895665;21.85;0.279591;1212.0;7.100852;36.4;49.09;61.49;0.59;10.45;52.26
2022;2307304;Juazeiro do Norte;CE;0.197586;0.404255;0.900709;0.242696;0.021418;0.729528;0.001582;0.257968;19.687544;14.087321;18;0.069964;12.56417;9.904437;20214.35;9.914198;0.414003;0.627254;0.013067;0.19847;0.17873;0.01974;0.900538;23.54;0.307873;1212.0;7.100852;23.43;35.88;51.95;0.54;10.14;52.29
2022;2307403;Jucás;CE;0.170163;0.84;0.48;0.372989;0.011036;0.6156;0.0;0.237288;17.933283;15.133172;16;0.069058;10.082596;7.410347;14507.86;9.582515;0.220871;0.453917;0.012683;0.176106;0.155202;0.020904;0.881297;51.54;1.063558;1212.0;7.100852;44.11;60.69;70.58;0.49;9.82;60.36
2022;2307502;Lavras da Mangabeira;CE;0.0;0.921569;0.470588;0.241495;0.02478;0.730365;0.00126;0.222694;15.745731;27.041357;8;0.06123;10.335367;7.542744;12681.9;9.44801;0.234048;0.391704;0.018688;0.157332;0.133766;0.023566;0.850212;56.04;1.274795;1200.0;7.09091;46.26;65.45;69.23;0.6;8.27;56.42
2022;2307601;Limoeiro do Norte;CE;0.068586;0.661765;0.558824;0.364173;0.010011;0.623815;0.000211;0.304594;19.828744;19.285309;16;0.059201;10.994756;8.168203;27735.66;10.23051;0.378435;0.642168;0.007989;0.179386;0.15962;0.019766;0.889813;33.04;0.493429;1212.0;7.100852;21.09;31.76;49.38;0.49;9.52;44.97
2022;2307635;Madalena;CE;0.029954;0.967213;0.180328;0.138621;0.025388;0.832847;0.0;0.332762;25.686553;52.315609;6;0.06901;9.734891;7.062192;12324.69;9.419441;0.289892;0.427043;0.017608;0.177928;0.15493;0.022999;0.870741;48.28;0.933488;1212.0;7.100852;49.8;67.29;73.93;0.58;9.85;61.19
2022;2307650;Maracanaú;CE;0.379326;0.300578;0.988439;0.146243;0.011438;0.829288;0.011163;0.359121;27.598088;21.346166;17;0.069119;12.365254;9.693384;59720.24;10.997443;0.394383;0.636708;0.013678;0.202757;0.180779;0.021978;0.891604;23.69;0.310444;1212.0;7.100852;18.97;29.07;47.69;0.43;10.23;44.26
2022;2307700;Maranguape;CE;0.313904;0.877358;0.707547;0.129423;0.008532;0.86046;0.000466;0.209156;15.671834;15.503876;13;0.065057;11.56261;8.830251;17064.45;9.744811;0.378447;0.580611;0.010148;0.192389;0.171095;0.021294;0.889317;30.77;0.44446;1212.0;7.100852;25.4;36.51;57.64;0.44;9.91;50.11
2022;2307809;Marco;CE;0.075933;0.903226;0.580645;0.119756;0.018141;0.861111;0.000709;0.36;30.117446;16.533333;22;0.072677;10.15813;7.536897;15921.97;9.675518;0.291206;0.509646;0.022398;0.148197;0.130297;0.017899;0.879218;37.48;0.599488;1200.0;7.09091;41.45;57.25;71.84;0.54;9.28;62.81
2022;2307908;Martinópole;CE;0.094697;1.0;0.392857;0.145985;0.010138;0.841444;0.0;0.294826;24.340771;33.694344;9;0.076618;9.291644;6.723832;10100.68;9.220457;0.280192;0.427968;0.015812;0.193514;0.174324;0.019189;0.900838;45.43;0.832509;1000.0;6.908755;51.02;67.16;74.68;0.59;9.72;63.76
2022;2308005;Massapê;CE;0.788998;0.866667;0.6;0.068484;0.009574;0.918675;0.000451;0.416203;32.310263;26.077886;16;0.076293;10.537362;7.964503;11717.17;9.368896;0.296096;0.476806;0.019334;0.202674;0.180794;0.02188;0.892043;41.9;0.72117;1212.0;7.100852;41.67;55.88;68.12;0.47;10.03;58.72
2022;2308104;Mauriti;CE;0.0;0.842857;0.628571;0.239916;0.034049;0.721844;0.000524;0.372179;27.699129;21.638331;17;0.071004;10.726829;8.082093;14064.42;9.551475;0.239365;0.43589;0.014422;0.152554;0.133737;0.018817;0.876652;49.07;0.963479;1200.0;7.09091;48.76;62.22;72.26;0.56;9.83;57.19
2022;2308203;Meruoca;CE;0.187845;0.933333;0.733333;0.123219;0.005868;0.869517;0.000279;0.313576;23.883354;14.340344;22;0.069011;9.626284;6.953684;9490.99;9.158204;0.32788;0.529628;0.0131;0.17869;0.154851;0.023839;0.866589;37.07;0.589067;1200.0;7.09091;35.68;48.87;68.67;0.47;8.79;57.45
2022;2308302;Milagres;CE;0.224719;0.488372;0.581395;0.184488;0.021386;0.791275;0.00057;0.371895;24.054054;28.104575;13;0.059073;10.162037;7.333676;12275.6;9.41545;0.264371;0.432328;0.015131;0.155743;0.13873;0.017013;0.890762;45.74;0.842978;1200.0;7.09091;36.4;51.29;67.27;0.47;9.07;55.52
2022;2308351;Milhã;CE;0.130536;0.818182;0.909091;0.373596;0.027739;0.585323;0.0;0.477804;30.375982;12.850467;37;0.06061;9.555631;6.753438;16009.98;9.68103;0.258488;0.386767;0.023393;0.158448;0.127573;0.030875;0.805142;51.54;1.063558;1212.0;7.100852;44.12;63.95;65.53;0.54;9.71;56.79
